id;creation_date;proposal_name;proposal_type;proposal_role;release_date;is_open;is_accepted;is_paid
1;2019-10-09T22:27:54;Personal Loan Account e-business Steel;APPROVED;MANAGER;2019-10-10T08:19:26;true;true;true
2;2019-10-10T19:02:19;AI;APPROVED;ADMIN;2019-10-10T10:09:37;false;false;false
3;2019-10-09T23:05:47;overriding Bermudian Dollar (customarily known as Bermuda Dollar);STUDY;ORGANIZER;2019-10-10T10:46:17;true;false;true
4;2019-10-10T02:55:21;pink Synergized;PRODUCTION;ADMIN;2019-10-10T00:43:31;true;true;false
5;2019-10-10T00:53:58;User-centric;PRODUCTION;ORGANIZER;2019-10-09T23:58:19;false;true;false
6;2019-10-10T09:50:44;Fantastic withdrawal navigating;DEVELOPMENT;ORGANIZER;2019-10-10T09:14:00;false;false;false
7;2019-10-10T02:45:53;Indiana withdrawal bluetooth;PRODUCTION;ORGANIZER;2019-10-10T02:45:18;false;false;true
8;2019-10-10T01:13:15;Human client-driven;DEVELOPMENT;ADMIN;2019-10-10T18:08:33;false;false;true
9;2019-10-10T07:01:34;Refined RAM 1080p;APPROVED;USER;2019-10-10T06:33:40;false;false;true
10;2019-10-10T00:37:37;systems Keyboard Clothing;STUDY;USER;2019-10-10T17:17:42;false;true;false
