id;creation_date;url_vanswer;accepted;appuser_id;vquestion_id
1;2019-10-10T20:17:50;Borders Manager;true;1;1
2;2019-10-10T16:12:32;orange Soap;true;2;2
3;2019-10-10T09:08:36;models Soft AI;false;3;3
4;2019-10-10T06:05:41;viral;true;4;4
5;2019-10-10T11:51:12;hacking interface;true;5;5
6;2019-10-09T22:39:39;Inverse;false;6;6
7;2019-10-10T10:14:25;Jewelery logistical;true;7;7
8;2019-10-10T05:26:57;sky blue;true;8;8
9;2019-10-10T16:37:39;Sports;false;9;9
10;2019-10-10T06:41:21;indigo Tasty Steel Shoes transform;false;10;10
