id;creation_date;community_name;community_description;image;image_content_type;is_active;appuser_id
1;2019-10-10T09:53:58;Nepalese Rupee vortals Centralized;Licensed Clothing Engineer;../fake-data/blob/hipster.png;image/png;false;1
2;2019-10-10T07:37:33;granular;solid state;../fake-data/blob/hipster.png;image/png;true;2
3;2019-10-10T18:30:27;Quality Mount Computer;Accountability input;../fake-data/blob/hipster.png;image/png;true;3
4;2019-10-10T02:26:02;payment Philippine Peso parsing;Central;../fake-data/blob/hipster.png;image/png;true;4
5;2019-10-10T16:28:56;Associate Branding Small Metal Soap;Officer New Hampshire Unions;../fake-data/blob/hipster.png;image/png;false;5
6;2019-10-10T20:58:36;Leone;azure;../fake-data/blob/hipster.png;image/png;false;6
7;2019-10-09T22:29:10;Data Shoal;Refined Granite Gloves South Georgia and the South Sandwich Islands deposit;../fake-data/blob/hipster.png;image/png;true;7
8;2019-10-10T07:28:51;Organic Granite;SMS;../fake-data/blob/hipster.png;image/png;true;8
9;2019-10-10T13:38:04;interface Awesome Plastic Bacon;Senegal withdrawal;../fake-data/blob/hipster.png;image/png;true;9
10;2019-10-10T06:46:12;ADP Personal Loan Account;web-readiness;../fake-data/blob/hipster.png;image/png;false;10
