id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2019-10-10T19:32:06;North Dakota Garden;false;1;1
2;2019-10-10T18:04:10;Specialist generating;true;2;2
3;2019-10-10T21:03:31;Small Fresh Gloves;false;3;3
4;2019-10-10T08:54:03;interface;true;4;4
5;2019-10-10T03:18:39;lavender;true;5;5
6;2019-10-10T10:48:59;backing up;false;6;6
7;2019-10-10T09:02:17;Peru deposit;true;7;7
8;2019-10-10T18:36:17;Analyst card Licensed Cotton Ball;false;8;8
9;2019-10-10T11:15:19;Gorgeous Electronics Brand;true;9;9
10;2019-10-10T11:30:40;Som Rustic Frozen Keyboard ROI;false;10;10
