id;creation_date;message_text;is_delivered
1;2019-10-10T06:46:13;Borders EXE payment;false
2;2019-10-10T07:00:38;Web;true
3;2019-10-10T21:09:16;New York Data North Dakota;false
4;2019-10-10T08:01:49;Granite haptic;true
5;2019-10-09T23:11:45;revolutionize Branding;true
6;2019-10-10T16:49:50;analyzing;false
7;2019-10-10T19:22:20;Books Generic;true
8;2019-10-10T13:42:49;withdrawal;false
9;2019-10-10T01:30:51;Garden open-source hybrid;false
10;2019-10-10T05:09:42;extensible Accountability Handmade Cotton Bacon;true
